GEO_ID,NAME,Estimate Toal Population 3 years and over enrolled in school
37001,"Alamance County, North Carolina",41266
37003,"Alexander County, North Carolina",7460
37005,"Alleghany County, North Carolina",2005
37007,"Anson County, North Carolina",5166
37009,"Ashe County, North Carolina",4844
37011,"Avery County, North Carolina",3744
37013,"Beaufort County, North Carolina",9477
37015,"Bertie County, North Carolina",3800
37017,"Bladen County, North Carolina",6825
37019,"Brunswick County, North Carolina",20868
37021,"Buncombe County, North Carolina",52958
37023,"Burke County, North Carolina",17416
37025,"Cabarrus County, North Carolina",55533
37027,"Caldwell County, North Carolina",16559
37029,"Camden County, North Carolina",2556
37031,"Carteret County, North Carolina",13670
37033,"Caswell County, North Carolina",4414
37035,"Catawba County, North Carolina",36123
37037,"Chatham County, North Carolina",14661
37039,"Cherokee County, North Carolina",4552
37041,"Chowan County, North Carolina",3108
37043,"Clay County, North Carolina",1954
37045,"Cleveland County, North Carolina",22412
37047,"Columbus County, North Carolina",11199
37049,"Craven County, North Carolina",23429
37051,"Cumberland County, North Carolina",92212
37053,"Currituck County, North Carolina",6021
37055,"Dare County, North Carolina",7384
37057,"Davidson County, North Carolina",36714
37059,"Davie County, North Carolina",9106
37061,"Duplin County, North Carolina",14409
37063,"Durham County, North Carolina",80848
37065,"Edgecombe County, North Carolina",11277
37067,"Forsyth County, North Carolina",95874
37069,"Franklin County, North Carolina",14791
37071,"Gaston County, North Carolina",49243
37073,"Gates County, North Carolina",2574
37075,"Graham County, North Carolina",1765
37077,"Granville County, North Carolina",13096
37079,"Greene County, North Carolina",4547
37081,"Guilford County, North Carolina",142377
37083,"Halifax County, North Carolina",11069
37085,"Harnett County, North Carolina",37989
37087,"Haywood County, North Carolina",11377
37089,"Henderson County, North Carolina",22536
37091,"Hertford County, North Carolina",5670
37093,"Hoke County, North Carolina",15055
37095,"Hyde County, North Carolina",1102
37097,"Iredell County, North Carolina",41424
37099,"Jackson County, North Carolina",13035
37101,"Johnston County, North Carolina",51696
37103,"Jones County, North Carolina",1866
37105,"Lee County, North Carolina",15078
37107,"Lenoir County, North Carolina",13622
37109,"Lincoln County, North Carolina",17263
37111,"McDowell County, North Carolina",8889
37113,"Macon County, North Carolina",6006
37115,"Madison County, North Carolina",4707
37117,"Martin County, North Carolina",4555
37119,"Mecklenburg County, North Carolina",274784
37121,"Mitchell County, North Carolina",3036
37123,"Montgomery County, North Carolina",5660
37125,"Moore County, North Carolina",21150
37127,"Nash County, North Carolina",21666
37129,"New Hanover County, North Carolina",56287
37131,"Northampton County, North Carolina",3599
37133,"Onslow County, North Carolina",47761
37135,"Orange County, North Carolina",52111
37137,"Pamlico County, North Carolina",2061
37139,"Pasquotank County, North Carolina",9666
37141,"Pender County, North Carolina",13466
37143,"Perquimans County, North Carolina",2679
37145,"Person County, North Carolina",8211
37147,"Pitt County, North Carolina",59971
37149,"Polk County, North Carolina",3804
37151,"Randolph County, North Carolina",31969
37153,"Richmond County, North Carolina",10143
37155,"Robeson County, North Carolina",33637
37157,"Rockingham County, North Carolina",18545
37159,"Rowan County, North Carolina",33160
37161,"Rutherford County, North Carolina",13356
37163,"Sampson County, North Carolina",15337
37165,"Scotland County, North Carolina",8144
37167,"Stanly County, North Carolina",13944
37169,"Stokes County, North Carolina",8919
37171,"Surry County, North Carolina",14841
37173,"Swain County, North Carolina",3022
37175,"Transylvania County, North Carolina",6094
37177,"Tyrrell County, North Carolina",687
37179,"Union County, North Carolina",66435
37181,"Vance County, North Carolina",10211
37183,"Wake County, North Carolina",291186
37185,"Warren County, North Carolina",3559
37187,"Washington County, North Carolina",2644
37189,"Watauga County, North Carolina",21261
37191,"Wayne County, North Carolina",30525
37193,"Wilkes County, North Carolina",13665
37195,"Wilson County, North Carolina",19996
37197,"Yadkin County, North Carolina",7359
37199,"Yancey County, North Carolina",3180